X,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Keys
3452,to designate long period of laughter,29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,"tơhngơi, hiĕk tơhngơi"
3453,to throw something into a stream so that it will be carried away,24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,tơhoch
3454,"to be out of breath, breathe hard, sigh",29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,tơhôih
3455,"leap upon, pounce upon",34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,tơhrông
3456,messy clothes,19,19_intensive_water_dry_hot,"['intensive', 'water', 'dry', 'hot', 'fire', 'rain', 'dirty', 'season', 'boil', 'large']","['very intensive', 'large fire (intensive form) ', 'intensive of']",intensive - water - dry - hot - fire - rain - dirty - season - boil - large,FALSE,tơhrŭn-dŭn
3457,to be broken,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,tơhueh
3458,to drop something on purpose,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,tơhuŏng
3459,"to raise someone up, make to stand (animate things)",34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,tơiung
3460,to make retribution for killing people,22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,tơiung kơting
3461,to cut into small slices,38,38_cut_wood_bamboo_into,"['cut', 'wood', 'bamboo', 'into', 'rice', 'slices', 'tube', 'with', 'knife', 'small']","['to cut into big slices', 'to cut small wood bamboo in two ', 'to cut into small slices']",cut - wood - bamboo - into - rice - slices - tube - with - knife - small,TRUE,tơjĕr
3462,to cut into large flat pieces,38,38_cut_wood_bamboo_into,"['cut', 'wood', 'bamboo', 'into', 'rice', 'slices', 'tube', 'with', 'knife', 'small']","['to cut into big slices', 'to cut small wood bamboo in two ', 'to cut into small slices']",cut - wood - bamboo - into - rice - slices - tube - with - knife - small,FALSE,tơjêr
3463,tree hut,21,21_basket_tree_hut_sword,"['basket', 'tree', 'hut', 'sword', 'centipede', 'calf', 'rod', 'trees', 'back', 'trunk']","['the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) ', 'small back basket ', 'small back basket']",basket - tree - hut - sword - centipede - calf - rod - trees - back - trunk,FALSE,tơjrang
3464,to be a little ripe,14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,tơjrao
3465,to brace,13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơjră
3466,a hut used when hunting,21,21_basket_tree_hut_sword,"['basket', 'tree', 'hut', 'sword', 'centipede', 'calf', 'rod', 'trees', 'back', 'trunk']","['the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) ', 'small back basket ', 'small back basket']",basket - tree - hut - sword - centipede - calf - rod - trees - back - trunk,FALSE,tơju
3467,"to make to go down, pull down, put down, lower",13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơjur
3468,to go quickly to see or help someone,12,12_angry_be_lie_do,"['angry', 'be', 'lie', 'do', 'to', 'speak', 'verb', 'threaten', 'someone', 'for']","['to be angry ', 'to not be angry at', 'to be angry']",angry - be - lie - do - to - speak - verb - threaten - someone - for,FALSE,tơkan
3469,to choke each other,32,32_tail_curled_describe_the,"['tail', 'curled', 'describe', 'the', 'of', 'between', 'stick', 'trap', 'curly', 'designate']","[""stick used to pull dog with rope on both sides so that animal can't bite the one pulling "", 'of an old person to hold pipe between teeth', 'to describe something large curled up in a sitting position']",tail - curled - describe - the - of - between - stick - trap - curly - designate,FALSE,tơket
3470,"to yell, scream",29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,tơkĕch
3471,a ring,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,tơkhiĕn
3472,"to part, split into groups",37,37_split_divide_roll_fit,"['split', 'divide', 'roll', 'fit', 'distribute', 'up', 'chain', 'sprout', 'finish', 'to']","['to divide up', 'to split up ', 'to divide up and give, distribute']",split - divide - roll - fit - distribute - up - chain - sprout - finish - to,FALSE,tơklah
3473,"to bump into each other, to hit the target ",13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơklă
3474,thread used in weaving to pull up upper layer,33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,tơko
3475,"to fight each other with swords, knives",13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơkoh
3476,bone of lower leg,33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,tơkong
3477,type of wild mango,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,"tơkong, plei tơkong"
3478,waterfalls,35,35_hair_high_recede_unruly,"['hair', 'high', 'recede', 'unruly', 'thunder', 'weight', 'see', 'swelling', 'distance', 'light']","['same as pơtuch but the distance between caller and listener is less', 'hair all over the place unruly hair', 'to describe unruly hair']",hair - high - recede - unruly - thunder - weight - see - swelling - distance - light,FALSE,"tơkơi, đak tơkơi"
3479,to fall down head over heels,28,28_fall_head_turn_over,"['fall', 'head', 'turn', 'over', 'down', 'jump', 'back', 'go', 'to', 'move']","['to fall down head over heels', 'to look back, turn head around', 'to turn head']",fall - head - turn - over - down - jump - back - go - to - move,TRUE,tơkỡl
3480,to have white dirty spots,19,19_intensive_water_dry_hot,"['intensive', 'water', 'dry', 'hot', 'fire', 'rain', 'dirty', 'season', 'boil', 'large']","['very intensive', 'large fire (intensive form) ', 'intensive of']",intensive - water - dry - hot - fire - rain - dirty - season - boil - large,FALSE,tơkul
3481,intensive form of tơkul,14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,tơkul-tơkal-mal
3482,"to answer, to promise the spirits a sacrifice",12,12_angry_be_lie_do,"['angry', 'be', 'lie', 'do', 'to', 'speak', 'verb', 'threaten', 'someone', 'for']","['to be angry ', 'to not be angry at', 'to be angry']",angry - be - lie - do - to - speak - verb - threaten - someone - for,FALSE,tơl
3483,twine made from bamboo,15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,tơlak
3484,"to arbitrate, judge, have trial; to interpret explain",8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,FALSE,tơlang
3485,to come untied,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,tơlang
3486,skeleton,17,17_crossbow_footprints_arrow_cockeyed,"['crossbow', 'footprints', 'arrow', 'cockeyed', 'length', 'mouse', 'kite', 'spider', 'crosseyed', 'necklace']","['crossbow', 'the length of objects as opposed to their width i.e. the measurement of the length', 'body of crossbow on which arrow is set']",crossbow - footprints - arrow - cockeyed - length - mouse - kite - spider - crosseyed - necklace,FALSE,tơlang
3487,to place on shoulder e.g. a blanket hung on shoulder when no longer for warmth when walking,36,36_throw_shake_feel_choke,"['throw', 'shake', 'feel', 'choke', 'suck', 'touch', 'to', 'when', 'mouth', 'dive']","['to throw', 'to throw out', 'may also have the idea of throw away especially when preceded by words meaning to throw out ']",throw - shake - feel - choke - suck - touch - to - when - mouth - dive,FALSE,tơlăk
3488,to look at each other,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,tơlăng
3489,woodpecker,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,tơleh
3490,rope string cord,33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,tơlei
3491,"to let out, take out ",10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,tơlĕch
